Attribute_xlsx,Attribute_text,Type,Description,Unit,Data source,References,Feng2020,att_Xie2021
dom_land_cover,dom_land_cover,Landcover,dominant land cover (Noah-modified 20-category IGBP-MODIS land cover),-,MODIS*,-,True,True
dom_land_cover_frac,dom_land_cover_frac,Landcover,fraction of the catchment area associated with the dominant land cover,-,MODIS*,-,True,True
root_depth_50,root_depth_50,Landcover,root depth (percentiles XX = 50% extracted from a root depth distribution based on IGBP land cover),m,MODIS*,Eq. 2 and Table 2 in Zeng (2011),True,False
root_depth_99,root_depth_99,Landcover,root depth (percentiles XX = 99% extracted from a root depth distribution based on IGBP land cover),m,MODIS*,Eq. 2 and Table 2 in Zeng (2011),False,False
soil_depth_pelletier,soil_depth_pelletier,Soil,depth to bedrock (maximum 50m),m,Pelletier et al. (2016),-,False,True
soil_depth_statgso,soil_depth_statsgo,Soil,"soil depth (maximum 1.5m, layers marked as water and bedrock were excluded)",m,Miller and White (1998) - STATSGO*,-,True,True
soil_porosity,soil_porosity,Soil,"volumetric porosity (saturated volumetric water content estimated using a multiple linear regression based on sand and clay fraction for the layers marked as USDA soil texture class and a default value [0.9] for layers marked as organic material, layers marked as water, bedrock and ""other"" were excluded)",-,Miller and White (1998) - STATSGO*,"Table 4 in Cosby et al. (1984), Lawrence and Slater (2008)",True,True
soil_conductivity,soil_conductivity,Soil,"saturated hydraulic conductivity (estimated using a multiple linear regression based on sand and clay fraction for the layers marked as USDA soil texture class and a default value [36cm/hr] for layers marked as organic material, layers marked as water, bedrock and ""other"" were excluded)",cm/hr,Miller and White (1998) - STATSGO*,"Table 4 in Cosby et al. (1984), Lawrence and Slater (2008)",True,True
max_water_content,max_water_content,Soil,"maximum water content (combination of porosity and soil_depth_statgso, layers marked as water, bedrock and ""other"" were excluded)",m,Miller and White (1998) - STATSGO*,-,True,True
sand_frac,sand_frac,Soil,"sand fraction (of the soil material smaller than 2 mm, layers marked as oragnic material, water, bedrock and ""other"" were excluded)",%,Miller and White (1998) - STATSGO*,-,False,True
silt_frac,silt_frac,Soil,"silt fraction (of the soil material smaller than 2 mm, layers marked as oragnic material, water, bedrock and ""other"" were excluded)",%,Miller and White (1998) - STATSGO*,-,False,True
clay_frac,clay_frac,Soil,"clay fraction (of the soil material smaller than 2 mm, layers marked as oragnic material, water, bedrock and ""other"" were excluded)",%,Miller and White (1998) - STATSGO*,-,False,True
water_frac,water_frac,Soil,fraction of the top 1.5m marked as water (class 14 ),%,Miller and White (1998) - STATSGO*,-,False,False
organic_frac,organic_frac,Soil,fraction of soil_depth_statgso marked as organic material (class 13),%,Miller and White (1998) - STATSGO*,-,False,False
other_frac,other_frac,Soil,fraction of soil_depth_statgso marked as other (class 16),%,Miller and White (1998) - STATSGO*,-,False,False
geol_class_1st,geol_1st_class,Geology,most common geologic class in the catchment,-,GLiM,Hartmann and Moosdorf (2012),True,False
geol_class_1st_frac,glim_1st_class_frac,Geology,fraction of the catchment area associated with its most common geologic class,-,GLiM,Hartmann and Moosdorf (2012),False,False
geol_class_2nd,geol_2nd_class,Geology,2nd most common geologic class in the catchment,-,GLiM,Hartmann and Moosdorf (2012),True,False
geol_class_2nd_frac,glim_2nd_class_frac,Geology,fraction of the catchment area associated with its 2nd most common geologic class,-,GLiM,Hartmann and Moosdorf (2012),False,False
carb_rocks_frac,carbonate_rocks_frac,Geology,"fraction of the catchment area characterized as ""Carbonate sedimentary rocks""",-,GLiM,Hartmann and Moosdorf (2012),False,True
geol_porosity,geol_porostiy,Geology,subsurface porosity,-,GLHYMPS,Gleeson et al. (2014),True,False
geol_permeability,geol_permeability,Geology,subsurface permeability (log10),m2,GLHYMPS,Gleeson et al. (2014),True,True
